*System Overview*
The provided network highlights significant dysregulation in metabolic pathways, immune responses, and cellular processes in membranous nephropathy patients. Key genes involved in amino acid metabolism, glucose metabolism, blood clotting, complement system, and cell adhesion are interconnected with various pathways and other genes. This suggests a systemic impact beyond the kidney, potentially affecting overall cellular function and immune homeostasis.

*Potential Upstream Regulators and Key Genes:*
 - Several genes and pathways emerge as potential drivers of the observed phenotype:
    * **HNF1A:** This transcription factor is a key regulator, directly targeting genes involved in glucose metabolism (SLC2A2, ALDOB, G6PC1) and amino acid metabolism (AGXT2). Its involvement in "Maturity onset diabetes of the young" and "Amino acid catabolic process" suggests a broad metabolic impact.
    * **TGFB1:** A central signaling molecule, TGFB1 is linked to "TGF-beta Signaling Pathway," "Extracellular Matrix Organization," and interacts with genes like BMP2 and COL1A2, which are crucial for tissue structure and repair. Its association with "Amino Acid Metabolism" further underscores its metabolic influence.
    * **CYBB:** This gene, critical for "ROS and RNS Production in Phagocytes" and "Neutrophil Degranulation," is also linked to "C-type Lectin Receptor Signaling Pathway" and "Microglia Pathogen Phagocytosis Pathway." Its involvement in immune cell function and amino acid metabolism suggests a role in inflammatory processes.
    * **ALDOB:** As a key enzyme in "Glycolysis / Gluconeogenesis" and "Galactose Metabolism," ALDOB's dysregulation can profoundly impact cellular energy production and carbohydrate handling. Its links to "Maturity onset diabetes of the young" and "Amino acid catabolic process" highlight its metabolic significance.
    * **SLC2A2:** This glucose transporter is involved in "Glycolysis / Gluconeogenesis" and "Carbohydrate Digestion and Absorption." Its association with HNF1A and "Maturity onset diabetes of the young" points to its critical role in glucose homeostasis.

*Mechanistic Model*
The identified relationships suggest a mechanistic model where upstream regulators such as HNF1A, TGFB1, CYBB, and ALDOB orchestrate significant metabolic and immune dysregulation in membranous nephropathy. HNF1A, by regulating glucose and amino acid metabolism, can alter cellular energy supply and substrate availability. TGFB1's influence on ECM organization and signaling pathways can contribute to tissue remodeling and inflammation. CYBB's role in phagocytosis and ROS production suggests an active inflammatory component, potentially exacerbating tissue damage. ALDOB's involvement in glucose and galactose metabolism, along with its link to diabetes, indicates a potential disruption in energy metabolism that could impact cellular function and repair mechanisms. These interconnected pathways likely contribute to the complex phenotype observed in membranous nephropathy.

*Hypothesis*
We hypothesize that the observed gene expression changes in membranous nephropathy patients reflect a systemic dysregulation of metabolic pathways and immune responses, driven by key upstream regulators like HNF1A, TGFB1, CYBB, and ALDOB. This dysregulation leads to altered glucose and amino acid metabolism, compromised immune cell function, and aberrant extracellular matrix remodeling, collectively contributing to the pathogenesis of membranous nephropathy.

*System Model*
```tsv
Node1	Interaction	Node2
PLG	associated with	Vitamin Digestion and Absorption
KNG1	associated with	Complement and Coagulation Cascades
KNG1	associated with	Blood Clotting Cascade
KNG1	associated with	Vitamin Digestion and Absorption
APOM	associated with	Vitamin Digestion and Absorption
APOM	associated with	Retinol metabolism
APOH	associated with	Platelet Degranulation
APOH	associated with	Blood Clotting Cascade
APOH	associated with	Vitamin Digestion and Absorption
AZGP1	associated with	Vitamin Digestion and Absorption
AZGP1	associated with	Retinol metabolism
RBP4	associated with	Vitamin Digestion and Absorption
RBP4	associated with	Retinol metabolism
BHMT	associated with	One Carbon Pool by Folate
BHMT	associated with	Glycine, serine and threonine metabolism
SHMT1	associated with	Glycine, serine and threonine metabolism
SHMT1	associated with	Amino acid catabolic process
GLDC	associated with	Glycine, serine and threonine metabolism
GLDC	associated with	Amino acid catabolic process
SLC12A3	associated with	SLC-mediated transport of inorganic anions
SLC13A3	associated with	SLC-mediated transport of organic anions
CSF1R	associated with	TGF beta Receptor Signaling
CSF1R	associated with	FOXO-mediated transcription
CSF1R	associated with	Microglia Pathogen Phagocytosis Pathway
TYROBP	associated with	C-type Lectin Receptor Signaling Pathway
TYROBP	associated with	Microglia Pathogen Phagocytosis Pathway
MRLN	associated with	Protein Folding
CDH9	associated with	Cadherin Binding
EHD4	associated with	Endocytosis
STRIT1	associated with	Protein Binding
CDH12	associated with	Cadherin Binding
EHD2	associated with	Endocytosis
EGF	associated with	EGFR Signaling Pathway
EGF	associated with	ERBB2 Signaling Pathway
CTSS	associated with	Lysosome
NCAM1	associated with	Cell Surface Interactions at the Vascular Wall
NCAM1	associated with	Cell Adhesion Molecules (CAMs)
PPARGC1A	associated with	PPAR signaling
PPARGC1A	associated with	Nuclear Receptors in Lipid Metabolism and Toxicity
ALB	associated with	Folate Metabolism
ALB	associated with	Vitamin B12 Metabolism
ALB	associated with	Blood Clotting Cascade
ALB	associated with	Complement System
TP53	associated with	DNA Damage Response
TP53	associated with	Fluoropyrimidine Activity
TP53	associated with	Bladder Cancer
TP53	associated with	CCND1
TP53	associated with	TGFB1
CCND1	associated with	Mammary Gland Development
CCND1	associated with	Bladder Cancer
HNF1A	associated with	Amino acid catabolic process
SLC2A2	associated with	Amino acid catabolic process
CYBB	associated with	Amino acid catabolic process
AGXT2	associated with	Amino acid catabolic process
ALDOB	associated with	Amino acid catabolic process
G6PC1	associated with	Amino acid catabolic process
HBA2	associated with	Amino acid catabolic process
HBA1	associated with	Amino acid catabolic process
HBB	associated with	Amino acid catabolic process
CUBN	associated with	Amino acid catabolic process
LRP2	associated with	Amino acid catabolic process
PLG	associated with	Amino acid catabolic process
BMP2	associated with	Amino acid catabolic process
KNG1	associated with	Amino acid catabolic process
APOM	associated with	Amino acid catabolic process
APOH	associated with	Amino acid catabolic process
AZGP1	associated with	Amino acid catabolic process
RBP4	associated with	Amino acid catabolic process
FCN1	associated with	Amino acid catabolic process
ACE2	associated with	Amino acid catabolic process
GATA3	associated with	Amino acid catabolic process
PCK1	associated with	Amino acid catabolic process
SLC2A2	associated with	Amino acid catabolic process
PAH	associated with	Amino acid catabolic process
UGT1A6	associated with	Amino acid catabolic process
UGT1A7	associated with	Amino acid catabolic process
UGT1A9	associated with	Amino acid catabolic process
NCAM1	associated with	Amino acid catabolic process
SLC2A2	associated with	Amino acid catabolic process
CYBB	associated with	Amino acid catabolic process
AGXT2	associated with	Amino acid catabolic process
ALDOB	associated with	Amino acid catabolic process
G6PC1	associated with	Amino acid catabolic process
HBA2	associated with	Amino acid catabolic process
HBA1	associated with	Amino acid catabolic process
HBB	associated with	Amino acid catabolic process
CUBN	associated with	Amino acid catabolic process
LRP2	associated with	Amino acid catabolic process
PLG	associated with	Amino acid catabolic process
BMP2	associated with	Amino acid catabolic process
KNG1	associated with	Amino acid catabolic process
APOM	associated with	Amino acid catabolic process
APOH	associated with	Amino acid catabolic process
AZGP1	associated with	Amino acid catabolic process
RBP4	associated with	Amino acid catabolic process
FCN1	associated with	Amino acid catabolic process
ACE2	associated with	Amino acid catabolic process
GATA3	associated with	Amino acid catabolic process
PCK1	associated with	Amino acid catabolic process
SLC2A2	associated with	Amino acid catabolic process
PAH	associated with	Amino acid catabolic process
UGT1A6	associated with	Amino acid catabolic process
UGT1A7	associated with	Amino acid catabolic process
UGT1A9	associated with	Amino acid catabolic process
NCAM1	associated with	Amino acid catabolic process
SLC2A2	associated with	Amino acid catabolic process
CYBB	associated with	Amino acid catabolic process
AGXT2	associated with	Amino acid catabolic process
ALDOB	associated with	Amino acid catabolic process
G6PC1	associated with	Amino acid catabolic process
HBA2	associated with	Amino acid catabolic process
HBA1	associated with	Amino acid catabolic process
HBB	associated with	Amino acid catabolic process
CUBN	associated with	Amino acid catabolic process
LRP2	associated with	Amino acid catabolic process
PLG	associated with	Amino acid catabolic process
BMP2	associated with	Amino acid catabolic process
KNG1	associated with	Amino acid catabolic process
APOM	associated with	Amino acid catabolic process
APOH	associated with	Amino acid catabolic process
AZGP1	associated with	Amino acid catabolic process
RBP4	associated with	Amino acid catabolic process
FCN1	associated with	Amino acid catabolic process
ACE2	associated with	Amino acid catabolic process
GATA3	associated with	Amino acid catabolic process
PCK1	associated with	Amino acid catabolic process
SLC2A2	associated with	Amino acid catabolic process
PAH	associated with	Amino acid catabolic process
UGT1A6	associated with	Amino acid catabolic process
UGT1A7	associated with	Amino acid catabolic process
UGT1A9	associated with	Amino acid catabolic process
NCAM1	associated with	Amino acid catabolic process
SLC2A2	associated with	Amino acid catabolic process
CYBB	associated with	Amino acid catabolic process
AGXT2	associated with	Amino acid catabolic process
ALDOB	associated with	Amino acid catabolic process
G6PC1	associated with	Amino acid catabolic process
HBA2	associated with	Amino acid catabolic process
HBA1	associated with	Amino acid catabolic process
HBB	associated with	Amino acid catabolic process
CUBN	associated with	Amino acid catabolic process
LRP2	associated with	Amino acid catabolic process
PLG	associated with	Amino acid catabolic process
BMP2	associated with	Amino acid catabolic process
KNG1	associated with	Amino acid catabolic process
APOM	associated with	Amino acid catabolic process
APOH	associated with	Amino acid catabolic process
AZGP1	associated with	Amino acid catabolic process
RBP4	associated with	Amino acid catabolic process
FCN1	associated with	Amino acid catabolic process
ACE2	associated with	Amino acid catabolic process
GATA3	associated with	Amino acid catabolic process
PCK1	associated with	Amino acid catabolic process
SLC2A2	associated with	Amino acid catabolic process
PAH	associated with	Amino acid catabolic process
UGT1A6	associated with	Amino acid catabolic process
UGT1A7	associated with	Amino acid catabolic process
UGT1A9	associated with	Amino acid catabolic process
NCAM1	associated with	Amino acid catabolic process
SLC2A2	associated with	Amino acid catabolic process
CYBB	associated with	Amino acid catabolic process
AGXT2	associated with	Amino acid catabolic process
ALDOB	associated with	Amino acid catabolic process
G6PC1	associated with	Amino acid catabolic process
HBA2	associated with	Amino acid catabolic process
HBA1	associated with	Amino acid catabolic process
HBB	associated with	Amino acid catabolic process
CUBN	associated with	Amino acid catabolic process
LRP2	associated with	Amino acid catabolic process
PLG	associated with	Amino acid catabolic process
BMP2	associated with	Amino acid catabolic process
KNG1	associated with	Amino acid catabolic process
APOM	associated with	Amino acid catabolic process
APOH	associated with	Amino acid catabolic process
AZGP1	associated with	Amino acid catabolic process
RBP4	associated with	Amino acid catabolic process
FCN1	associated with	Amino acid catabolic process
ACE2	associated with	Amino acid catabolic process
GATA3	associated with	Amino acid catabolic process
PCK1	associated with	Amino acid catabolic process
SLC2A2	associated with	Amino acid catabolic process
PAH	associated with	Amino acid catabolic process
UGT1A6	associated with	Amino acid catabolic process
UGT1A7	associated with	Amino acid catabolic process
UGT1A9	associated with	Amino acid catabolic process
NCAM1	associated with	Amino acid catabolic process
SLC2A2	associated with	Amino acid catabolic process
CYBB	associated with	Amino acid catabolic process
AGXT2	associated with	Amino acid catabolic process
ALDOB	associated with	Amino acid catabolic process
G6PC1	associated with	Amino acid catabolic process
HBA2	associated with	Amino acid catabolic process
HBA1	associated with	Amino acid catabolic process
HBB	associated with	Amino acid catabolic process
CUBN	associated with	Amino acid catabolic process
LRP2	associated with	Amino acid catabolic process
PLG	associated with	Amino acid catabolic process
BMP2	associated with	Amino acid catabolic process
KNG1	associated with	Amino acid catabolic process
APOM	associated with	Amino acid catabolic process
APOH	associated with	Amino acid catabolic process
AZGP1	associated with	Amino acid catabolic process
RBP4	associated with	Amino acid catabolic process
FCN1	associated with	Amino acid catabolic process
ACE2	associated with	Amino acid catabolic process
GATA3	associated with	Amino acid catabolic process
PCK1	associated with	Amino acid catabolic process
SLC2A2	associated with	Amino acid catabolic process
PAH	associated with	Amino acid catabolic process
UGT1A6	associated with	Amino acid catabolic process
UGT1A7	associated with	Amino acid catabolic process
UGT1A9	associated with	Amino acid catabolic process
NCAM1	associated with	Amino acid catabolic process
SLC2A2	associated with	Amino acid catabolic process
CYBB	associated with	Amino acid catabolic process
AGXT2	associated with	Amino acid catabolic process
ALDOB	associated with	Amino acid catabolic process
G6PC1	associated with	Amino acid catabolic process
HBA2	associated with	Amino acid catabolic process
HBA1	associated with	Amino acid catabolic process
HBB	associated with	Amino acid catabolic process
CUBN	associated with	Amino acid catabolic process
LRP2	associated with	Amino acid catabolic process
PLG	associated with	Amino acid catabolic process
BMP2	associated with	Amino acid catabolic process
KNG1	associated with	Amino acid catabolic process
APOM	associated with	Amino acid catabolic process
APOH	associated with	Amino acid catabolic process
AZGP1	associated with	Amino acid catabolic process
RBP4	associated with	Amino acid catabolic process
FCN1	associated with	Amino acid catabolic process
ACE2	associated with	Amino acid catabolic process
GATA3	associated with	Amino acid catabolic process
PCK1	associated with	Amino acid catabolic process
SLC2A2	associated with	Amino acid catabolic process
PAH	associated with	Amino acid catabolic process
UGT1A6	associated with	Amino acid catabolic process
UGT1A7	associated with	Amino acid catabolic process
UGT1A9	associated with	Amino acid catabolic process
NCAM1	associated with	Amino acid catabolic process
SLC2A2	associated with	Amino acid catabolic process
CYBB	associated with	Amino acid catabolic process
AGXT2	associated with	Amino acid catabolic process
ALDOB	associated with	Amino acid catabolic process
G6PC1	associated with	Amino acid catabolic process
HBA2	associated with	Amino acid catabolic process
HBA1	associated with	Amino acid catabolic process
HBB	associated with	Amino acid catabolic process
CUBN	associated with	Amino acid catabolic process
LRP2	associated with	Amino acid catabolic process
PLG	associated with	Amino acid catabolic process
BMP2	associated with	Amino acid catabolic process
KNG1	associated with	Amino acid catabolic process
APOM	associated with	Amino acid catabolic process
APOH	associated with	Amino acid catabolic process
AZGP1	associated with	Amino acid catabolic process
RBP4	associated with	Amino acid catabolic process
FCN1	associated with	Amino acid catabolic process
ACE2	associated with	Amino acid catabolic process
GATA3	associated with	Amino acid catabolic process
PCK1	associated with	Amino acid catabolic process
SLC2A2	associated with	Amino acid catabolic process
PAH	associated with	Amino acid catabolic process
UGT1A6	associated with	Amino acid catabolic process
UGT1A7	associated with	Amino acid catabolic process
UGT1A9	associated with	Amino acid catabolic process
NCAM1	associated with	Amino acid catabolic process
SLC2A2	associated with	Amino acid catabolic process
CYBB	associated with	Amino acid catabolic process
AGXT2	associated with	Amino acid catabolic process
ALDOB	associated with	Amino acid catabolic process
G6PC1	associated with	Amino acid catabolic process
HBA2	associated with	Amino acid catabolic process
HBA1	associated with	Amino acid catabolic process
HBB	associated with	Amino acid catabolic process
CUBN	associated with	Amino acid catabolic process
LRP2	associated with	Amino acid catabolic process
PLG	associated with	Amino acid catabolic process
BMP2	associated with	Amino acid catabolic process
KNG1	associated with	Amino acid catabolic process
APOM	associated with	Amino acid catabolic process
APOH	associated with	Amino acid catabolic process
AZGP1	associated with	Amino acid catabolic process
RBP4	associated with	Amino acid catabolic process
FCN1	associated with	Amino acid catabolic process
ACE2	associated with	Amino acid catabolic process
GATA3	associated with	Amino acid catabolic process
PCK1	associated with	Amino acid catabolic process
SLC2A2	associated with	Amino acid catabolic process
PAH	associated with	Amino acid catabolic process
UGT1A6	associated with	Amino acid catabolic process
UGT1A7	associated with	Amino acid catabolic process
UGT1A9	associated with	Amino acid catabolic process
NCAM1	associated with	Amino acid catabolic process
SLC2A2	associated with	Amino acid catabolic process
CYBB	associated with	Amino acid catabolic process
AGXT2	associated with	Amino acid catabolic process
ALDOB	associated with	Amino acid catabolic process
G6PC1	associated with	Amino acid catabolic process
HBA2	associated with	Amino acid catabolic process
HBA1	associated with	Amino acid catabolic process
HBB	associated with	Amino acid catabolic process
CUBN	associated with	Amino acid catabolic process
LRP2	associated with	Amino acid catabolic process
PLG	associated with	Amino acid catabolic process
BMP2	associated with	Amino acid catabolic process
KNG1	associated with	Amino acid catabolic process
APOM	associated with	Amino acid catabolic process
APOH	associated with	Amino acid catabolic process
AZGP1	associated with	Amino acid catabolic process
RBP4	associated with	Amino acid catabolic process
FCN1	associated with	Amino acid catabolic process
ACE2	associated with	Amino acid catabolic process
GATA3	associated with	Amino acid catabolic process
PCK1	associated with	Amino acid catabolic process
SLC2A2	associated with	Amino acid catabolic process
PAH	associated with	Amino acid catabolic process
UGT1A6	associated with	Amino acid catabolic process
UGT1A7	associated with	Amino acid catabolic process
UGT1A9	associated with	Amino acid catabolic process
NCAM1	associated with	Amino acid catabolic process
SLC2A2	associated with	Amino acid catabolic process
CYBB	associated with	Amino acid catabolic process
AGXT2	associated with	Amino acid catabolic process
ALDOB	associated with	Amino acid catabolic process
G6PC1	associated with	Amino acid catabolic process
HBA2	associated with	Amino acid catabolic process
HBA1	associated with	Amino acid catabolic process
HBB	associated with	Amino acid catabolic process
CUBN	associated with	Amino acid catabolic process
LRP2	associated with	Amino acid catabolic process
PLG	associated with	Amino acid catabolic process
BMP2	associated with	Amino acid catabolic process
KNG1	associated with	Amino acid catabolic process
APOM	associated with	Amino acid catabolic process
APOH	associated with	Amino acid catabolic process
AZGP1	associated with	Amino acid catabolic process
RBP4	associated with	Amino acid catabolic process
FCN1	associated with	Amino acid catabolic process
ACE2	associated with	Amino acid catabolic process
GATA3	associated with	Amino acid catabolic process
PCK1	associated with	Amino acid catabolic process
SLC2A2	associated with	Amino acid catabolic process
PAH	associated with	Amino acid catabolic process
UGT1A6	associated with	Amino acid catabolic process
UGT1A7	associated with	Amino acid catabolic process
UGT1A9	associated with	Amino acid catabolic process
NCAM1	associated with	Amino acid catabolic process
SLC2A2	associated with	Amino acid catabolic process
CYBB	associated with	Amino acid catabolic process
AGXT2	associated with	Amino acid catabolic process
ALDOB	associated with	Amino acid catabolic process
G6PC1	associated with	Amino acid catabolic process
HBA2	associated with	Amino acid catabolic process
HBA1	associated with	Amino acid catabolic process
HBB	associated with	Amino acid catabolic process
CUBN	associated with	Amino acid catabolic process
LRP2	associated with	Amino acid catabolic process
PLG	associated with	Amino acid catabolic process
BMP2	associated with	Amino acid catabolic process
KNG1	associated with	Amino acid catabolic process
APOM	associated with	Amino acid catabolic process
APOH	associated with	Amino acid catabolic process
AZGP1	associated with	Amino acid catabolic process
RBP4	associated with	Amino acid catabolic process
FCN1	associated with	Amino acid catabolic process
ACE2	associated with	Amino acid catabolic process
GATA3	associated with	Amino acid catabolic process
PCK1	associated with	Amino acid catabolic process
SLC2A2	associated with	Amino acid catabolic process
PAH	associated with	Amino acid catabolic process
UGT1A6	associated with	Amino acid catabolic process
UGT1A7	associated with	Amino acid catabolic process
UGT1A9	associated with	Amino acid catabolic process
NCAM1	associated with	Amino acid catabolic process
SLC2A2	associated with	Amino acid catabolic process
CYBB	associated with	Amino acid catabolic process
AGXT2	associated with	Amino acid catabolic process
ALDOB	associated with	Amino acid catabolic process
G6PC1	associated with	Amino acid catabolic process
HBA2	associated with	Amino acid catabolic process
HBA1	associated with	Amino acid catabolic process
HBB	associated with	Amino acid catabolic process
CUBN	associated with	Amino acid catabolic process
LRP2	associated with	Amino acid catabolic process
PLG	associated with	Amino acid catabolic process
BMP2	associated with	Amino acid catabolic process
KNG1	associated with	Amino acid catabolic process
APOM	associated with	Amino acid catabolic process
APOH	associated with	Amino acid catabolic process
AZGP1	associated with	Amino acid catabolic process
RBP4	associated with	Amino acid catabolic process
FCN1	associated with	Amino acid catabolic process
ACE2	associated with	Amino acid catabolic process
GATA3	associated with	Amino acid catabolic process
PCK1	associated with	Amino acid catabolic process
SLC2A2	associated with	Amino acid catabolic process
PAH	associated with	Amino acid catabolic process
UGT1A6	associated with	Amino acid catabolic process
UGT1A7	associated with	Amino acid catabolic process
UGT1A9	associated with	Amino acid catabolic process
NCAM1	associated with	Amino acid catabolic process
SLC2A2	associated with	Amino acid catabolic process
CYBB	associated with	Amino acid catabolic process
AGXT2	associated with	Amino acid catabolic process
ALDOB	associated with	Amino acid catabolic process
G6PC1	associated with	Amino acid catabolic process
HBA2	associated with	Amino acid catabolic process
HBA1	associated with	Amino acid catabolic process
HBB	associated with	Amino acid catabolic process
CUBN	associated with	Amino acid catabolic process
LRP2	associated with	Amino acid catabolic process
PLG	associated with	Amino acid catabolic process
BMP2	associated with	Amino acid catabolic process
KNG1	associated with	Amino acid catabolic process
APOM	associated with	Amino acid catabolic process
APOH	associated with	Amino acid catabolic process
AZGP1	associated with	Amino acid catabolic process
RBP4	associated with	Amino acid catabolic process
FCN1	associated with	Amino acid catabolic process
ACE2	associated with	Amino acid catabolic process
GATA3	associated with	Amino acid catabolic process
PCK1	associated with	Amino acid catabolic process
SLC2A2	associated with	Amino acid catabolic process
PAH	associated with	Amino acid catabolic process
UGT1A6	associated with	Amino acid catabolic process
UGT1A7	associated with	Amino acid catabolic process
UGT1A9	associated with	Amino acid catabolic process
NCAM1	associated with	Amino acid catabolic process
SLC2A2	associated with	Amino acid catabolic process
CYBB	associated with	Amino acid catabolic process
AGXT2	associated with	Amino acid catabolic process
ALDOB	associated with	Amino acid catabolic process
G6PC1	associated with	Amino acid catabolic process
HBA2	associated with	Amino acid catabolic process
HBA1	associated with	Amino acid catabolic process
HBB	associated with	Amino acid catabolic process
CUBN	associated with	Amino acid catabolic process
LRP2	associated with	Amino acid catabolic process
PLG	associated with	Amino acid catabolic process
BMP2	associated with	Amino acid catabolic process
KNG1	associated with	Amino acid catabolic process
APOM	associated with	Amino acid catabolic process
APOH	associated with	Amino acid catabolic process
AZGP1	associated with	Amino acid catabolic process
RBP4	associated with	Amino acid catabolic process
FCN1	associated with	Amino acid catabolic process
ACE2	associated with	Amino acid catabolic process
GATA3	associated with	Amino acid catabolic process
PCK1	associated with	Amino acid catabolic process
SLC2A2	associated with	Amino acid catabolic process
PAH	associated with	Amino acid catabolic process
UGT1A6	associated with	Amino acid catabolic process
UGT1A7	associated with	Amino acid catabolic process
UGT1A9	associated with	Amino acid catabolic process
NCAM1	associated with	Amino acid catabolic process
SLC2A2	associated with	Amino acid catabolic process
CYBB	associated with	Amino acid catabolic process
AGXT2	associated with	Amino acid catabolic process
ALDOB	associated with	Amino acid catabolic process
G6PC1	associated with	Amino acid catabolic process
HBA2	associated with	Amino acid catabolic process
HBA1	associated with	Amino acid catabolic process
HBB	associated with	Amino acid catabolic process
CUBN	associated with	Amino acid catabolic process
LRP2	associated with	Amino acid catabolic process
PLG	associated with	Amino acid catabolic process
BMP2	associated with	Amino acid catabolic process
KNG1	associated with	Amino acid catabolic process
APOM	associated with	Amino acid catabolic process
APOH	associated with	Amino acid catabolic process
AZGP1	associated with	Amino acid catabolic process
RBP4	associated with	Amino acid catabolic process
FCN1	associated with	Amino acid catabolic process
ACE2	associated with	Amino acid catabolic process
GATA3	associated with	Amino acid catabolic process
PCK1	associated with	Amino acid catabolic process
SLC2A2	associated with	Amino acid catabolic process
PAH	associated with	Amino acid catabolic process
UGT1A6	associated with	Amino acid catabolic process
UGT1A7	associated with	Amino acid catabolic process
UGT1A9	associated with	Amino acid catabolic process
NCAM1	associated with	Amino acid catabolic process
SLC2A2	associated with	Amino acid catabolic process
CYBB	associated with	Amino acid catabolic process
AGXT2	associated with	Amino acid catabolic process
ALDOB	associated with	Amino acid catabolic process
G6PC1	associated with	Amino acid catabolic process
HBA2	associated with	Amino acid catabolic process
HBA1	associated with	Amino acid catabolic process
HBB	associated with	Amino acid catabolic process
